Start Time: 16:33:20,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(7, 0) ,,,,,,,,,,,,,
run_features=True, with: is_hl=True , specific_blendshapes=False ,,,,,,,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.075,0.104,0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.065,0.158,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.057,0.22,-0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.044,0.342,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.043,0.351,-0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.046,0.322,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.069,0.134,-0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.07,0.129,0.005,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.053,0.253,-0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True,0.066,0.156,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.062,0.183,-0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True,0.071,0.127,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.072,0.118,-0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True,0.066,0.155,0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.062,0.18,-0.024,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True,0.055,0.232,0,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.078,0.093,-0.023,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, valence    , True, True,0.058,0.212,0,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.074,0.11,-0.028,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, valence    , True, True,0.068,0.139,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.17,0,0.027,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True,0.169,0,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.159,0.001,0.021,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True,0.156,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.134,0.004,0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True,0.139,0.003,0.019,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.158,0.001,0.018,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True,0.157,0.001,0.024,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.157,0.001,0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True,0.166,0,0.027,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.139,0.003,0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True,0.15,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.135,0.003,0,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True,0.145,0.002,0.021,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.151,0.001,0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True,0.159,0.001,0.025,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.144,0.002,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, arousal    , True, True,0.148,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.136,0.003,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, arousal    , True, True,0.146,0.002,0.021,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.082,0.078,0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True,0.071,0.123,0.005,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.061,0.187,-0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True,0.047,0.314,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.035,0.45,-0.009,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True,0.036,0.441,0,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.049,0.293,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True,0.053,0.251,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.04,0.383,-0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True,0.059,0.205,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.056,0.23,-0.018,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True,0.068,0.139,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True,0.092,0.046,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True,0.084,0.069,0.006,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True,0.083,0.072,-0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True,0.073,0.115,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, likeability, True, True,0.095,0.04,-0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, likeability, True, True,0.074,0.111,0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, likeability, True, True,0.096,0.037,-0.018,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, likeability, True, True,0.09,0.053,0.007,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True,0.136,0.003,0.018,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True,0.128,0.005,0.014,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True,0.131,0.004,0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True,0.12,0.009,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True,0.114,0.014,0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True,0.112,0.015,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True,0.11,0.017,0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True,0.113,0.015,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True,0.103,0.026,0,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True,0.116,0.012,0.013,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True,0.106,0.022,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True,0.12,0.009,0.014,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True,0.111,0.016,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True,0.113,0.014,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True,0.106,0.022,-0.007,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True,0.104,0.025,0.01,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.108,0.02,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True,0.103,0.026,0.01,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.097,0.036,-0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True,0.097,0.035,0.008,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.061,0.185,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True,0.038,0.407,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.048,0.298,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True,0.017,0.718,-0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.026,0.575,-0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True,0.016,0.724,-0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.056,0.23,-0.007,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True,0.045,0.328,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.042,0.36,-0.014,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True,0.04,0.392,-0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.069,0.139,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True,0.063,0.176,0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.078,0.091,-0.009,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True,0.057,0.215,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.063,0.172,-0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True,0.041,0.374,-0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.086,0.063,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, valence    , True, True,0.047,0.314,-0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.078,0.093,-0.016,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, valence    , True, True,0.054,0.243,-0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.164,0,0.025,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True,0.155,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.153,0.001,0.02,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True,0.143,0.002,0.019,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.131,0.004,0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True,0.126,0.006,0.016,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.15,0.001,0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True,0.142,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.147,0.001,0.011,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True,0.149,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.132,0.004,0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True,0.136,0.003,0.018,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.131,0.004,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True,0.132,0.004,0.017,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.141,0.002,0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True,0.143,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.132,0.004,-0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, arousal    , True, True,0.127,0.006,0.016,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.121,0.009,-0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, arousal    , True, True,0.121,0.009,0.014,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.067,0.145,0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True,0.042,0.362,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.047,0.311,-0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True,0.016,0.729,-0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.014,0.766,-0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True,0.002,0.972,-0.004,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.032,0.489,-0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True,0.022,0.636,-0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.024,0.607,-0.017,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True,0.023,0.614,-0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.056,0.228,-0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True,0.05,0.28,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.09,0.053,-0.006,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True,0.065,0.162,0.003,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.078,0.093,-0.012,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True,0.048,0.297,-0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.093,0.044,-0.008,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, likeability, True, True,0.053,0.253,0,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.091,0.048,-0.011,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, likeability, True, True,0.066,0.153,0.002,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.127,0.006,0.015,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True,0.108,0.019,0.011,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.124,0.007,0.013,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True,0.101,0.03,0.01,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.102,0.027,0.004,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True,0.092,0.047,0.008,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.098,0.034,0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True,0.09,0.051,0.008,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.096,0.039,0,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True,0.095,0.039,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.108,0.019,0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True,0.109,0.018,0.012,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.109,0.018,0.001,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True,0.098,0.034,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.097,0.037,-0.005,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True,0.081,0.078,0.005,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.106,0.021,-0.003,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True,0.083,0.071,0.005,,,,,,,,,,
