Start Time: 12:55:44
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.130, 0.005, 0.016
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.122, 0.008, 0.013
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.129, 0.005, 0.015
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.119, 0.010, 0.013
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.138, 0.003, 0.015
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.136, 0.003, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.145, 0.002, 0.014
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.140, 0.002, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.138, 0.003, 0.007
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.144, 0.002, 0.020
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.128, 0.006, 0.000
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.129, 0.005, 0.016
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.140, 0.002, 0.004
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.134, 0.004, 0.018
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.127, 0.006, -0.005
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.125, 0.007, 0.016
linear_regression, LeaveOneClipOutForEachSubject, pca10, valence    , True, True, 0.110, 0.017, -0.015
ridge            , LeaveOneClipOutForEachSubject, pca10, valence    , True, True, 0.109, 0.018, 0.011
linear_regression, LeaveOneClipOutForEachSubject, pca11, valence    , True, True, 0.119, 0.010, -0.015
ridge            , LeaveOneClipOutForEachSubject, pca11, valence    , True, True, 0.121, 0.009, 0.014
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.186, 0.000, 0.034
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.194, 0.000, 0.033
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.179, 0.000, 0.030
